127.0.0.1 - - [06/Jun/2022:17:59:17 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [06/Jun/2022:17:59:20 -0500] "GET /ProjectContratacion/login.jsp HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [06/Jun/2022:17:59:21 -0500] "GET /ProjectContratacion/img/fondo1.jpg HTTP/1.1" 200 75685
0:0:0:0:0:0:0:1 - - [06/Jun/2022:17:59:21 -0500] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [06/Jun/2022:17:59:54 -0500] "POST /ProjectContratacion/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 4517
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:05 -0500] "POST /ProjectContratacion/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:05 -0500] "GET /ProjectContratacion/img/logoPrincipal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:05 -0500] "GET /ProjectContratacion/img/fondoActual.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:12 -0500] "GET /ProjectContratacion/ServletSolicitante?tipo=LISTAR HTTP/1.1" 200 21308
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:13 -0500] "GET /ProjectContratacion/img/editar2.png HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:13 -0500] "GET /ProjectContratacion/img/eliminar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:15 -0500] "GET /ProjectContratacion/img/si.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:15 -0500] "GET /ProjectContratacion/img/rechazado.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:00:39 -0500] "GET /ProjectContratacion/ServletSolicitanteJSON?codigo=2 HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [06/Jun/2022:18:54:46 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4504
0:0:0:0:0:0:0:1 - - [06/Jun/2022:19:03:28 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [06/Jun/2022:19:55:55 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [06/Jun/2022:19:57:43 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [06/Jun/2022:19:57:56 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:05:21 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:07:52 -0500] "GET /ProjectContratacion/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4614
